file,original,gzip,rar,xz
test_data/urandom/urandom_100000_097.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_098.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_099.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_100.bin,12500,12546,12714,12560
test_data/lcg/lcg_10000000_001.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_002.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_003.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_004.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_005.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_006.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_007.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_008.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_009.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_010.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_011.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_012.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_013.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_014.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_015.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_016.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_017.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_018.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_019.bin,1250000,1267,191,312
test_data/lcg/lcg_1000000_001.bin,125000,177,130,152
test_data/lcg/lcg_10000000_020.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_021.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_022.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_023.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_024.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_025.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_026.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_027.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_028.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_029.bin,1250000,1267,191,312
test_data/lcg/lcg_1000000_002.bin,125000,177,130,152
test_data/lcg/lcg_10000000_030.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_031.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_032.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_033.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_034.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_035.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_036.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_037.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_038.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_039.bin,1250000,1267,191,312
test_data/lcg/lcg_1000000_003.bin,125000,177,130,152
test_data/lcg/lcg_10000000_040.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_041.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_042.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_043.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_044.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_045.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_046.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_047.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_048.bin,1250000,1267,191,312
test_data/lcg/lcg_10000000_049.bin,1250000,1267,191,312
